"ConditionA1.bam" "ConditionA2.bam" "ConditionA3.bam" "ConditionD1.bam" "ConditionD2.bam" "ConditionD3.bam" "ConditionE1.bam" "ConditionE2.bam" "ConditionE3.bam" "ConditionF1.bam" "ConditionF2.bam" "ConditionF3.bam" "ConditionF4.bam" "ConditionG1.bam" "ConditionG2.bam" "ConditionG3.bam" "ConditionG4.bam"
"Cluster-2491.12016" 105 79 73 131 124 82 41 121 86 177 452 813 949 37 103 467 280
"Cluster-2491.6846" 766 635 347 267 196 156 157 1202 456 112 168 349 756 688 171 2065 1209
"Cluster-2491.12914" 137 150 62 222 216 117 31 81 97 87 155 130 196 69 81 196 132
"Cluster-2491.970" 37 18 42 1 1 2 6 12 1 78 135 251 216 0 54 172 89
"Cluster-2491.17096" 5429 2604 1448 165 174 151 22 53 40 3599 4990 1658 4377 25 1555 38 80
"Cluster-2491.5843" 2239 1693 1424 1912 3144 1838 1346 2709 3493 1589 1940 1526 1901 1409 1950 6705 3626
"Cluster-2491.11538" 331 265 152 1390 1393 1014 51 527 207 60 84 158 248 136 38 657 685
"Cluster-2491.7598" 230 294 134 204 197 154 51 128 86 139 219 129 184 82 110 339 215
"Cluster-2491.13156" 21 18 10 19 12 25 17 17 17 11 24 43 29 12 9 49 38
"Cluster-2491.6599" 1214 1102 756 1621 2593 1824 1351 2764 3615 1617 1833 1102 1148 1525 2365 5712 3277
"Cluster-2491.15606" 33 24 8 21 21 19 20 12 20 12 28 41 42 19 21 42 26
"Cluster-2491.14041" 189 144 116 150 131 91 22 49 51 19 19 52 116 67 10 166 113
"Cluster-2491.15442" 814 765 374 590 622 444 210 586 614 187 269 317 555 457 178 1673 855
"Cluster-2491.14383" 153 206 70 142 117 77 77 122 69 107 136 191 302 48 65 265 229
"Cluster-2491.15784" 447 353 248 198 198 163 76 299 146 147 296 572 779 149 132 612 586
"Cluster-2491.5772" 1644 1655 1189 742 1073 691 981 988 1471 763 866 757 945 653 796 4345 2509
"Cluster-2491.19269" 72 108 20 102 111 67 17 36 30 22 31 33 72 32 14 85 72
"Cluster-2491.13374" 384 345 202 259 199 145 28 99 52 84 90 51 139 82 49 150 135
"Cluster-2491.8865" 923 654 288 361 385 247 252 799 712 990 1181 1009 1062 364 756 1284 805
"Cluster-2491.17789" 19 41 13 15 37 18 4 2 7 4 8 23 26 3 3 39 20
"Cluster-2491.13937" 1038 1092 672 776 535 406 242 685 427 557 796 930 1370 409 511 1135 888
"Cluster-2491.24686" 36 30 97 5 0 2 4 3 3 14 13 61 62 6 12 65 52
"Cluster-2491.7134" 36 14 21 22 23 10 6 19 15 35 29 25 44 22 22 38 32
"Cluster-2491.17250" 1244 1070 664 485 534 308 153 453 357 621 836 782 1066 220 458 1247 783
"Cluster-2491.7520" 599 550 238 402 355 248 44 162 55 43 59 154 331 66 33 299 363
"Cluster-2491.18613" 298 233 90 216 285 162 119 184 153 96 104 356 464 159 72 490 430
"Cluster-2926.0" 0 0 0 5 37 54 0 0 0 0 0 0 0 0 0 0 0
"Cluster-2491.15988" 158 141 103 197 154 124 15 45 32 78 153 109 186 27 45 133 101
"Cluster-2491.9418" 528 449 271 251 234 167 161 374 283 112 171 217 319 261 172 993 548
"Cluster-2491.11447" 26 34 28 622 685 522 284 329 741 89 115 57 82 235 257 1137 668
"Cluster-2491.3146" 198 180 273 70 119 54 24 118 77 73 107 35 70 50 66 218 91
"Cluster-474.0" 33 15 4 0 0 0 1 0 0 5 3 11 17 0 0 0 7
"Cluster-2491.19052" 70 55 42 11 15 6 0 8 0 0 0 0 1 1 0 36 17
"Cluster-2491.17769" 560 631 343 525 594 432 55 185 209 69 105 26 58 76 61 440 214
"Cluster-2491.3283" 45 55 23 42 52 42 17 19 49 19 19 15 22 20 11 64 49
"Cluster-2491.22810" 0 0 0 0 0 0 5 2 0 0 0 0 24 0 0 0 0
"Cluster-2491.19266" 13 9 4 10 11 10 7 3 1 0 4 8 12 4 1 4 15
"Cluster-2491.7314" 241 224 109 547 627 384 252 1223 652 250 316 185 337 805 396 1333 810
"Cluster-2491.23581" 18 9 8 8 7 9 4 2 2 1 11 9 15 0 2 10 6
"Cluster-2491.2327" 24 31 17 1002 833 789 11 9 12 2 2 17 5 7 18 41 24
"Cluster-2491.11925" 317 417 125 189 210 148 64 115 88 159 372 587 691 75 162 497 316
"Cluster-2491.18452" 105 108 13 136 153 94 33 102 46 27 43 82 156 76 16 163 158
"Cluster-2491.18015" 2177 1848 1145 563 622 494 191 1515 702 1348 1467 701 989 549 914 1692 1387
"Cluster-2159.2" 3 1 0 8 14 13 3 1 10 0 0 1 3 0 3 8 10
"Cluster-2491.4765" 1807 1356 1505 202 268 192 116 841 431 505 744 1050 1293 298 452 1242 886
"Cluster-2491.15096" 107 71 40 17 28 16 4 10 5 2 2 11 31 4 1 19 28
"Cluster-2491.16679" 117 134 85 15 7 10 8 36 5 7 6 9 13 4 2 26 18
"Cluster-2491.21328" 0 0 0 0 0 0 590 1 14 39 26 72 0 0 39 1 72
"Cluster-2491.7826" 251 225 118 413 353 283 124 746 535 265 273 94 127 351 352 783 376
"Cluster-2491.12506" 67 56 39 78 105 81 58 149 200 98 91 58 76 93 115 449 228
"Cluster-126.3" 4074 3505 2400 51 75 51 23 15 15 111 75 4 4 15 62 65 18
"Cluster-2491.7607" 364 351 252 567 514 429 514 1419 1289 350 324 284 421 672 509 2381 1702
"Cluster-2491.17024" 425 384 181 451 221 203 123 256 138 368 581 1025 1345 124 272 771 650
"Cluster-2491.22555" 13 14 5 0 0 1 3 1 1 2 3 1 3 1 0 2 0
"Cluster-2491.2251" 14 8 6 4 3 2 10 3 6 9 19 25 34 3 17 44 17
"Cluster-2491.14852" 1467 1254 682 620 660 381 215 812 333 1343 2723 3962 3728 265 1117 3018 1895
"Cluster-2491.4990" 555 1111 230 422 376 333 204 656 307 33 80 345 631 506 55 2128 1193
"Cluster-2491.13116" 108 97 65 173 156 77 8 40 11 13 26 16 32 15 10 101 122
"Cluster-2491.9305" 657 779 393 470 387 298 302 758 645 379 401 283 618 364 294 1159 725
"Cluster-2491.18580" 61 52 24 145 124 91 43 108 95 41 58 92 170 60 39 182 142
"Cluster-2491.12982" 194 157 75 237 223 154 48 144 85 84 101 104 204 72 80 254 206
"Cluster-2947.0" 133 109 104 1 1 0 1 1 1 23 43 48 116 0 37 0 8
"Cluster-2491.4374" 385 345 267 394 462 319 312 359 539 239 320 326 375 192 303 1297 735
"Cluster-2491.20120" 5 5 1 2 4 6 2 1 0 0 0 2 8 2 0 2 8
"Cluster-2491.10629" 1551 1197 892 648 485 360 43 273 62 57 51 271 536 123 25 536 433
"Cluster-2491.24951" 31 47 38 56 41 37 8 7 6 31 43 261 247 2 21 148 73
"Cluster-3168.0" 9 5 0 5 8 2 2 6 5 2 0 6 12 3 4 9 6
"Cluster-3684.0" 77 102 50 40 43 33 8 11 4 6 9 17 14 11 4 22 30
"Cluster-2491.8018" 870 720 423 689 936 609 358 586 707 534 690 1016 1359 432 511 2592 1286
"Cluster-2491.18354" 461 421 254 22 20 23 10 62 24 12 16 56 39 14 5 79 90
"Cluster-939.0" 27 17 14 0 2 1 1 2 0 0 0 0 0 0 0 0 2
"Cluster-2491.14705" 118 59 50 102 143 95 40 50 66 143 185 304 265 54 99 259 153
"Cluster-2491.7192" 537 371 217 456 524 294 201 374 390 312 436 474 698 300 262 1131 696
"Cluster-2491.15224" 2 0 2 0 1 0 31 13 21 8 4 5 2 16 1 54 42
"Cluster-2491.11164" 128 143 55 170 202 139 65 56 57 222 371 523 587 41 163 393 268
"Cluster-2491.8765" 29 26 30 50 43 39 37 195 145 156 193 68 137 142 128 634 321
"Cluster-2491.4088" 213 216 93 284 237 162 118 209 190 467 672 562 696 139 270 450 415
"Cluster-2491.14582" 97 54 17 52 50 40 21 29 13 9 10 59 80 39 5 23 67
"Cluster-2491.4539" 133 173 71 176 231 127 82 178 184 128 159 182 179 191 117 520 262
"Cluster-4972.0" 74 46 31 1 1 2 0 9 1 3 1 57 99 2 0 0 31
"Cluster-2491.17231" 104 111 48 106 160 102 90 198 140 74 89 84 123 125 72 280 232
"Cluster-2491.5761" 2191 1760 1162 4151 6319 4142 2528 4926 7549 2727 3035 2986 3882 3430 3373 16752 9173
"Cluster-2491.22746" 11 8 3 19 12 18 6 22 15 9 27 44 42 14 11 123 27
"Cluster-5499.0" 6 9 2 0 4 4 2 3 2 0 0 1 0 3 0 17 4
"Cluster-2491.12655" 15 14 1 13 23 9 14 29 23 7 16 10 18 17 10 60 37
"Cluster-2491.20106" 95 72 59 27 36 29 23 51 63 92 150 300 265 27 62 268 179
"Cluster-2491.12186" 518 488 213 384 432 319 112 226 166 220 244 202 307 138 127 428 409
"Cluster-2491.21987" 0 0 0 0 0 0 84 0 0 0 0 0 0 0 0 0 0
"Cluster-2491.10624" 17 12 10 737 654 563 104 191 466 22 20 43 18 45 87 480 493
"Cluster-2491.7563" 432 243 169 2477 4088 2500 826 1632 2622 1124 1278 1031 1393 1315 1718 3730 1908
"Cluster-2491.5585" 383 263 242 288 262 198 138 530 425 690 1114 1240 1696 228 357 1342 670
"Cluster-2491.13160" 255 304 138 233 154 163 121 201 86 40 48 120 281 118 37 268 316
"Cluster-2491.11391" 71 44 7 44 34 34 7 31 1 10 2 20 28 18 1 40 53
